accession	Sequence_length	Sequence_name	taxid	kingdom	phylum	class	order	family	genus	species	subspecies	strain	Nucleic Acid 	Host
JQ082302.1	6531	Sangassou virus strain SA14 RNA polymerase (L) gene, complete cds	1980489	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Hantaviridae	Orthohantavirus	Sangassou orthohantavirus	unclassified Sangassou orthohantavirus subspecies/strain	unclassified Sangassou orthohantavirus strain	RNA	Animal
JQ085285.1	2218	Meles meles circovirus-like virus, complete genome	1128073	Viruses	Cressdnaviricota	Arfiviricetes	Cirlivirales	Circoviridae	unclassified Circoviridae genus	Meles meles circovirus-like virus	unclassified Meles meles circovirus-like virus subspecies/strain	unclassified Meles meles circovirus-like virus strain	DNA	Animal
JQ086222.1	2909	Bluetongue virus 15 strain DPP192 segment 2, complete sequence	35331	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 15	Bluetongue virus 15	RNA	Animal
JQ086223.1	2763	Bluetongue virus 15 strain DPP192 segment 3, complete sequence	35331	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 15	Bluetongue virus 15	RNA	Animal
JQ086226.1	1637	Bluetongue virus 15 strain DPP192 segment 6, complete sequence	35331	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 15	Bluetongue virus 15	RNA	Animal
JQ086228.1	1125	Bluetongue virus 15 strain DPP192 segment 8, complete sequence	35331	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 15	Bluetongue virus 15	RNA	Animal
JQ086229.1	1052	Bluetongue virus 15 strain DPP192 segment 9, complete sequence	35331	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 15	Bluetongue virus 15	RNA	Animal
JQ086230.1	809	Bluetongue virus 15 strain DPP192 segment 10, complete sequence	35331	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 15	Bluetongue virus 15	RNA	Animal
JQ086231.1	3938	Bluetongue virus 16 strain DPP965 segment 1, complete sequence	45029	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 16	Bluetongue virus 16	RNA	Animal
JQ086232.1	2921	Bluetongue virus 16 strain DPP965 segment 2, complete sequence	45029	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 16	Bluetongue virus 16	RNA	Animal
JQ086235.1	1733	Bluetongue virus 16 strain DPP965 segment 5, complete sequence	45029	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 16	Bluetongue virus 16	RNA	Animal
JQ086237.1	1140	Bluetongue virus 16 strain DPP965 segment 7, complete sequence	45029	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 16	Bluetongue virus 16	RNA	Animal
JQ086259.1	1052	Bluetongue virus 20 strain CSIRO19 segment 9, complete sequence	35332	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 20	Bluetongue virus 20	RNA	Insect
JQ086272.1	2909	Bluetongue virus 23 strain DPP90 segment 2, complete sequence	45031	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 23	Bluetongue virus 23	RNA	Animal
JQ086275.1	1757	Bluetongue virus 23 strain DPP90 segment 5, complete sequence	45031	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 23	Bluetongue virus 23	RNA	Animal
JQ086276.1	1621	Bluetongue virus 23 strain DPP90 segment 6, complete sequence	45031	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 23	Bluetongue virus 23	RNA	Animal
JQ086282.1	2914	Bluetongue virus 3 strain DPP973 segment 2, complete sequence	36423	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 3	Bluetongue virus 3	RNA	Animal
JQ086286.1	1612	Bluetongue virus 3 strain DPP973 segment 6, complete sequence	36423	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 3	Bluetongue virus 3	RNA	Animal
JQ086287.1	1075	Bluetongue virus 3 strain DPP973 segment 7, complete sequence	36423	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 3	Bluetongue virus 3	RNA	Animal
JQ086288.1	1121	Bluetongue virus 3 strain DPP973 segment 8, complete sequence	36423	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 3	Bluetongue virus 3	RNA	Animal
JQ086292.1	2936	Bluetongue virus 7 strain v6963 segment 2, complete sequence	248911	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 7	Bluetongue virus 7	RNA	Animal
JQ086294.1	1981	Bluetongue virus 7 strain v6963 segment 4, complete sequence	248911	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 7	Bluetongue virus 7	RNA	Animal
JQ086295.1	1769	Bluetongue virus 7 strain v6963 segment 5, complete sequence	248911	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 7	Bluetongue virus 7	RNA	Animal
JQ086296.1	1628	Bluetongue virus 7 strain v6963 segment 6, complete sequence	248911	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 7	Bluetongue virus 7	RNA	Animal
JQ086297.1	1155	Bluetongue virus 7 strain v6963 segment 7, complete sequence	248911	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 7	Bluetongue virus 7	RNA	Animal
JQ086299.1	1052	Bluetongue virus 7 strain v6963 segment 9, complete sequence	248911	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 7	Bluetongue virus 7	RNA	Animal
JQ086302.1	2917	Bluetongue virus 9 strain DP0837 segment 2, complete sequence	45032	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 9	Bluetongue virus 9	RNA	Animal
JQ086306.1	1628	Bluetongue virus 9 strain DP0837 segment 6, complete sequence	45032	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 9	Bluetongue virus 9	RNA	Animal
JQ086308.1	1118	Bluetongue virus 9 strain DP0837 segment 8, complete sequence	45032	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 9	Bluetongue virus 9	RNA	Animal
JQ086551.1	10791	Donggang virus isolate DG0909, complete genome	985683	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Donggang virus	unclassified Donggang virus subspecies/strain	unclassified Donggang virus strain	RNA	Insect
JQ178241.1	5016	Raccoon polyomavirus strain R45, complete genome	1219896	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Alphapolyomavirus	Alphapolyomavirus procyonis	Raccoon polyomavirus	Raccoon polyomavirus	DNA	Animal
JQ237823.1	7383	Murine norovirus GV/CR6/2005/USA clone STL1, complete genome	463722	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Murine norovirus GV/CR6/2005/USA	Murine norovirus GV/CR6/2005/USA	RNA	Animal
JQ240321.1	3944	Bluetongue virus 2 strain Cooktown VP1 gene, complete cds	35328	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 2	Bluetongue virus 2	RNA	Animal
JQ240322.1	2933	Bluetongue virus 2 strain Cooktown VP2 gene, complete cds	35328	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 2	Bluetongue virus 2	RNA	Animal
JQ240323.1	2766	Bluetongue virus 2 strain Cooktown VP3 gene, complete cds	35328	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 2	Bluetongue virus 2	RNA	Animal
JQ240325.1	1758	Bluetongue virus 2 strain Cooktown NS1 gene, complete cds	35328	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 2	Bluetongue virus 2	RNA	Animal
JQ240326.1	1635	Bluetongue virus 2 strain Cooktown VP5 gene, complete cds	35328	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 2	Bluetongue virus 2	RNA	Animal
JQ240327.1	1151	Bluetongue virus 2 strain Cooktown VP7 gene, complete cds	35328	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 2	Bluetongue virus 2	RNA	Animal
JQ240328.1	1125	Bluetongue virus 2 strain Cooktown NS2 gene, complete cds	35328	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 2	Bluetongue virus 2	RNA	Animal
JQ240329.1	1044	UNVERIFIED: Bluetongue virus 2 VP6-like gene, complete sequence; and NS4 gene, complete cds	35328	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Bluetongue virus	Bluetongue virus 2	Bluetongue virus 2	RNA	Animal
JQ241176.1	17304	Human parainfluenza virus 4b strain 04-13, complete genome	11226	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Orthorubulavirus	Human orthorubulavirus 4	Human parainfluenza virus 4b	Human parainfluenza virus 4b	RNA	Human
JQ268258.1	10158	Hanko virus polyprotein gene, complete cds	1125677	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Hanko virus	unclassified Hanko virus subspecies/strain	unclassified Hanko virus strain	RNA	Insect
JQ277724.1	7408	Ovine enterovirus strain ovine/TB4-OEV/2009/HUN, complete genome	1194444	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus G	Ovine enterovirus	Ovine enterovirus	RNA	Animal
JQ308210.1	2359	Gyrovirus GyV3, complete genome	1163715	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Gyrovirus	Gyrovirus homsa1	Gyrovirus GyV3	Gyrovirus GyV3	DNA	Human
JQ326209.1	35153	Human adenovirus 19, complete genome	28278	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Mastadenovirus	Human mastadenovirus D	Human adenovirus 19	Human adenovirus 19	DNA	Human
JQ340310.1	6707	Astrovirus wild boar/WBAstV-1/2011/HUN, complete genome	1137931	Viruses	Pisuviricota	Stelpaviricetes	Stellavirales	Astroviridae	Mamastrovirus	Astrovirus wild boar/WBAstV-1/2011/HUN	unclassified Astrovirus wild boar/WBAstV-1/2011/HUN subspecies/strain	unclassified Astrovirus wild boar/WBAstV-1/2011/HUN strain	RNA	Animal
JQ345700.1	30024	Bovine adenovirus 6 strain 671130, complete genome	111167	Viruses	Preplasmiviricota	Tectiliviricetes	Rowavirales	Adenoviridae	Atadenovirus	Bovine atadenovirus E	Bovine adenovirus 6	Bovine adenovirus 6	DNA	Animal
JQ358765.1	881	Rotavirus G3 strain RVA/Human-wt/IND/mcs60/2011/G3P[10] outer capsid protein gene, partial cds	73036	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G3	Rotavirus G3	RNA	Human
JQ358771.1	966	Rotavirus G3 strain RVA/Human-wt/IND/mcs60/2011/G3P[10] nonstructural protein NSP2 gene, complete cds	73036	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G3	Rotavirus G3	RNA	Human
JQ358772.1	948	Rotavirus G3 strain RVA/Human-wt/IND/mcs60/2011/G3P[10] nonstructural protein NSP3 gene, complete cds	73036	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G3	Rotavirus G3	RNA	Human
JQ358773.1	634	Rotavirus G3 strain RVA/Human-wt/IND/mcs60/2011/G3P[10] nonstructural protein NSP4 gene, complete cds	73036	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G3	Rotavirus G3	RNA	Human
JQ358774.1	648	Rotavirus G3 strain RVA/Human-wt/IND/mcs60/2011/G3P[10] nonstructural protein NSP5 gene, complete cds	73036	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Rotavirus G3	Rotavirus G3	RNA	Human
JQ388274.1	7691	Norovirus Hu/GI.6/Kingston/ACT160D/2010/AU, complete genome	1173217	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Caliciviridae	Norovirus	Norwalk virus	Norovirus Hu/GI.6/Kingston/ACT160D/2010/AU	Norovirus Hu/GI.6/Kingston/ACT160D/2010/AU	RNA	Human
JQ397329.1	7407	Human enterovirus 74 strain Rikaze-136/XZ/CHN/2010, complete genome	222889	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	Enterovirus	Enterovirus B	Enterovirus B74	Enterovirus B74	RNA	Human
JQ404409.1	29462	Canine coronavirus strain 1-71, complete genome	11153	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Alphacoronavirus	Alphacoronavirus 1	Canine coronavirus	Canine coronavirus	RNA	Animal
JQ406846.1	2899	Torque teno sus virus k2b isolate 38E23, complete genome	1239832	Viruses	unclassified Viruses phylum	unclassified Viruses class	unclassified Viruses order	Anelloviridae	Kappatorquevirus	Torque teno sus virus k2b	unclassified Torque teno sus virus k2b subspecies/strain	unclassified Torque teno sus virus k2b strain	DNA	Animal
JQ411014.1	16050	Feline morbillivirus strain 761U, complete genome	1170234	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Morbillivirus	Feline morbillivirus	unclassified Feline morbillivirus subspecies/strain	unclassified Feline morbillivirus strain	RNA	Animal
JQ412134.1	4987	Equus caballus polyomavirus 1 isolate CU03, complete genome	1891761	Viruses	Cossaviricota	Papovaviricetes	Sepolyvirales	Polyomaviridae	Betapolyomavirus	Betapolyomavirus equi	unclassified Betapolyomavirus equi subspecies/strain	unclassified Betapolyomavirus equi strain	DNA	Animal
JQ412755.1	3854	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08 segment L1, complete sequence	1203543	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08	RNA	Animal
JQ412756.1	3915	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08 segment L2, complete sequence	1203543	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08	RNA	Animal
JQ412757.1	3901	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08 segment L3, complete sequence	1203543	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08	RNA	Animal
JQ412758.1	2304	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08 segment M1, complete sequence	1203543	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08	RNA	Animal
JQ412759.1	2204	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08 segment M2, complete sequence	1203543	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08	RNA	Animal
JQ412760.1	2241	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08 segment M3, complete sequence	1203543	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08	RNA	Animal
JQ412761.1	1416	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08 segment S1, complete sequence	1203543	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08	RNA	Animal
JQ412762.1	1331	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08 segment S2, complete sequence	1203543	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08	RNA	Animal
JQ412763.1	1198	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08 segment S3, complete sequence	1203543	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08	RNA	Animal
JQ412764.1	1196	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08 segment S4, complete sequence	1203543	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Orthoreovirus	Mammalian orthoreovirus	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08	Mammalian Orthoreovirus strain T3/Bat/Germany/342/08	RNA	Animal
JQ423897.1	1591	Lapine rotavirus strain N5 segment 5, complete sequence	49892	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Lapine rotavirus	Lapine rotavirus	RNA	Animal
JQ423898.1	1059	Lapine rotavirus strain N5 segment 8, complete sequence	49892	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Lapine rotavirus	Lapine rotavirus	RNA	Animal
JQ423899.1	1076	Lapine rotavirus strain N5 segment 7, complete sequence	49892	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Lapine rotavirus	Lapine rotavirus	RNA	Animal
JQ423900.1	750	Lapine rotavirus strain N5 segment 10, complete sequence	49892	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Lapine rotavirus	Lapine rotavirus	RNA	Animal
JQ423901.1	946	Lapine rotavirus strain N5 segment 11, complete sequence	49892	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Lapine rotavirus	Lapine rotavirus	RNA	Animal
JQ423902.1	3302	Lapine rotavirus strain N5 segment 1, complete sequence	49892	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Lapine rotavirus	Lapine rotavirus	RNA	Animal
JQ423903.1	2708	Lapine rotavirus strain N5 segment 2, complete sequence	49892	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Rotavirus	Rotavirus A	Lapine rotavirus	Lapine rotavirus	RNA	Animal
